"Table 1.1  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income, Tax Year 2010",,,,,,,,,,,,,,,,,,,,
"(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated)",,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income","All returns",,,,,"Taxable returns",,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,"Taxable income",,,"Income tax after credits",,,"Total income tax",,,,
,,,,,,,,,,"Number of
returns","Amount","Percent of
total","Number of
returns","Amount","Percent of
total","Amount","Percent of",,,"Average
total income 
tax (dollars)"
,,,"Amount","Percent
of total","Average
(dollars)",,,"Amount","Percent
of total",,,,,,,,"Total","Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
"$1 under $10,000","22,241,468",15.6,"119,109,475",1.5,"5,355","2,252,367",2.7,"15,651,598",0.2,"2,250,019","4,186,762",0.1,"2,252,367","437,916","[2]","437,916","[2]",10.5,2.8,194
"$1 under $15,000","35,047,969",24.5,"279,225,423",3.5,"7,967","5,274,039",6.2,"54,919,355",0.8,"5,271,579","17,654,402",0.3,"5,274,039","1,366,577",0.1,"1,366,577",0.1,7.7,2.5,259
"$1 under $20,000","46,770,696",32.7,"483,791,613",6.0,"10,344","10,169,565",12.0,"140,534,829",1.9,"10,166,604","56,177,539",1.1,"10,169,565","3,870,547",0.4,"3,870,547",0.4,6.9,2.8,381
"$1 under $25,000","56,955,978",39.9,"712,334,932",8.8,"12,507","14,888,077",17.6,"246,527,740",3.4,"14,885,076","111,323,179",2.1,"14,888,077","8,626,607",0.9,"8,626,607",0.9,7.7,3.5,579
"$1 under $30,000","65,906,053",46.1,"957,644,039",11.8,"14,530","19,578,966",23.2,"375,476,389",5.2,"19,575,561","184,255,570",3.5,"19,578,966","15,650,387",1.6,"15,650,387",1.6,8.5,4.2,799
"$1 under $40,000","80,519,349",56.3,"1,465,656,787",18.1,"18,203","29,450,593",34.9,"720,647,487",9.9,"29,446,162","397,064,675",7.5,"29,450,593","36,765,847",3.9,"36,765,847",3.9,9.3,5.1,"1,248"
"$1 under $50,000","91,511,372",64.0,"1,957,742,215",24.2,"21,393","38,171,256",45.2,"1,111,576,252",15.3,"38,166,464","648,628,083",12.3,"38,171,256","63,404,041",6.7,"63,404,041",6.7,9.8,5.7,"1,661"
"$1 under $75,000","110,238,541",77.1,"3,108,883,773",38.4,"28,201","54,935,543",65.0,"2,146,298,866",29.6,"54,928,850","1,340,104,088",25.4,"54,935,543","144,336,172",15.2,"144,336,172",15.2,10.8,6.7,"2,627"
"$1 under $100,000","122,043,923",85.4,"4,129,065,615",51.0,"33,833","66,322,408",78.5,"3,131,132,371",43.2,"66,314,209","2,027,984,877",38.4,"66,322,408","230,429,681",24.2,"230,429,681",24.2,11.4,7.4,"3,474"
"$1 under $200,000","136,041,574",95.2,"5,998,704,292",74.2,"44,095","80,192,615",94.9,"4,985,250,156",68.8,"80,181,366","3,395,714,758",64.3,"80,192,615","454,852,397",47.8,"454,852,397",47.8,13.4,9.1,"5,672"
"$1 under $500,000","139,513,297",97.6,"6,984,135,051",86.3,"50,061","83,649,476",99.0,"5,966,373,835",82.3,"83,636,144","4,176,800,280",79.1,"83,649,476","647,678,185",68.1,"647,678,185",68.1,15.5,10.9,"7,743"
"$1 under $1,000,000","140,057,521",98.0,"7,352,488,635",90.9,"52,496","84,190,962",99.7,"6,332,867,951",87.4,"84,176,744","4,484,650,091",84.9,"84,190,962","736,268,097",77.4,"736,268,097",77.4,16.4,11.6,"8,745"
"$1 under $1,500,000","140,184,462",98.1,"7,505,777,795",92.8,"53,542","84,317,306",99.8,"6,485,436,094",89.5,"84,302,932","4,615,319,849",87.4,"84,317,306","774,368,439",81.4,"774,368,439",81.4,16.8,11.9,"9,184"
"$1 under $2,000,000","140,236,012",98.1,"7,594,335,375",93.9,"54,154","84,368,588",99.9,"6,573,533,981",90.7,"84,354,146","4,691,345,802",88.8,"84,368,588","796,628,356",83.7,"796,628,356",83.7,17.0,12.1,"9,442"
"$1 under $5,000,000","140,309,090",98.2,"7,812,058,878",96.6,"55,677","84,441,264",100.0,"6,790,078,466",93.7,"84,426,686","4,879,138,536",92.4,"84,441,264","850,862,042",89.4,"850,865,059",89.4,17.4,12.5,"10,076"
"$1 under $10,000,000","140,326,617",98.2,"7,932,230,781",98.1,"56,527","84,458,711",100.0,"6,909,701,416",95.4,"84,444,101","4,983,500,317",94.3,"84,458,711","879,986,521",92.5,"879,989,539",92.5,17.7,12.7,"10,419"
"$1 or more","140,337,881",98.2,"8,277,946,520",102.3,"58,986","84,469,919",100.0,"7,252,313,334",100.1,"84,455,304","5,282,376,924",100.0,"84,469,919","951,420,470",100.0,"951,423,488",100.0,18.0,13.1,"11,263"
"All returns","142,892,051",100.0,"8,089,142,092",100.0,"56,610","84,475,933",100.0,"7,246,201,878",100.0,"84,455,304","5,282,376,924",100.0,"84,475,930","951,670,957",100.0,"951,673,976",100.0,18.0,13.1,"11,266"
"Accumulated from Largest Size of Adjusted Gross Income",,,,,,,,,,,,,,,,,,,,
"$10,000,000 or more","11,264","[2]","345,715,738",4.3,"30,692,093","11,208","[2]","342,611,918",4.7,"11,203","298,876,607",5.7,"11,208","71,433,949",7.5,"71,433,950",7.5,23.9,20.8,"6,373,479"
"$5,000,000 or more","28,792","[2]","465,887,642",5.8,"16,181,149","28,655","[2]","462,234,868",6.4,"28,617","403,238,389",7.6,"28,655","100,558,428",10.6,"100,558,430",10.6,24.9,21.8,"3,509,280"
"$2,000,000 or more","101,869",0.1,"683,611,145",8.5,"6,710,689","101,331",0.1,"678,779,353",9.4,"101,157","591,031,123",11.2,"101,331","154,792,114",16.3,"154,795,132",16.3,26.2,22.8,"1,527,619"
"$1,500,000 or more","153,419",0.1,"772,168,725",9.5,"5,033,071","152,613",0.2,"766,877,240",10.6,"152,372","667,057,075",12.6,"152,613","177,052,031",18.6,"177,055,050",18.6,26.5,23.1,"1,160,157"
"$1,000,000 or more","280,360",0.2,"925,457,885",11.4,"3,300,963","278,957",0.3,"919,445,383",12.7,"278,559","797,726,833",15.1,"278,957","215,152,373",22.6,"215,155,392",22.6,27.0,23.4,"771,285"
